image,num_lines,trend_1,trend_2,trend_3,trend_4,trend_5,trend_overall
1012.0522v1-Figure5-1.png,4,the line is concave down. ylabel decreases at an increasing rate and then plateaus to _value_.,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate ,,Line 2 and 4 have very similar trends. Line 3 and 1 intersect.
1207.3451v1-Figure2-1.png,5,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a decreasing rate,ylabel increases at a constant rate,ylabel increases at a constant rate,"Line 1 increases at a faster rate and is above all lines. Lines 3, 4, and 5 have similar trends with line 3 increasing fastest and line 5 increasing slowest"
1207.3884v1-Figure4-1.png,4,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,,Line 2 decreases fastest and is above all lines. Line 1 decreases slowest.
1207.4074v1-Figure1-1.png,3,ylabel increases at a constant rate,ylabel increases at a roughly constant rate,ylabel increases at a roughly constant rate,,,Lines 2 and 3 share an intersection point at xlabel _value_ and ylabel _value_
1207.4153v1-Figure2-1.png,3,ylabel roughly decreases at a decreasing rate with a few abrupt jumps,ylabel decreases at a decreasing rate and then plateaus to _value_,ylabel decreases at a decreasing rate and then plateaus to _value_,,,Lines 2 and 3 follow the most similar trends
1207.4258v1-Figure6-1.png,1,ylabel decreases at a constant rate,,,,,ylabel decreases at a constant rate
1207.4265v1-Figure13-1.png,4,"ylabel first decreases at an increasing rate, then decreases at a roughly constant rate, and plateaus at the end",ylabel first decreases at a decreasing rate and then abruptly drops and then increases at an increasing rate,ylabel first decreases at a decreasing rate and then abruptly drops and then increases at an increasing rate,ylabel at first decreases at some decreasing rate and then decreases at a faster decreasing rate,,"Lines 2 and 4 intersect a total of three times. They first intersect at xlabel _value_, then at xlabel _value_, and lastly at xlabel _value_"
1207.4455v1-Figure2-1.png,2,ylabel at first decreases at an increasing rate and then decreases at a decreasing rate,ylabel at first decreases at an increasing rate and then decreases at a decreasing rate with noisy behaviour,,,,lines 1 and 2 both plateau to _value_ at the end
1207.4958v1-Figure9-1.png,2,the line decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,,line 1 decreases at a faster rate than line 2. The two lines intersect roughly at xlabel _value_
1207.6084v1-Figure8-1.png,3,ylabel is roughly concave down,ylabel is roughly concave down,ylabel is roughly concave down,,,all lines initiate at xlabel _value_ and intersect again at xlabel _value_ at the end
1207.6318v1-Figure10-1.png,3,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,,"Lines 1 and 3 are almost identical, with line 3 being on top of line 1"
1207.6445v1-Figure7-1.png,4,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,"Line 2 intersects line 1 at xlabel _value_, intersects line 3 at xlabel _value_ and intersects line 4 at xlabel _value_"
1207.6656v2-Figure3-1.png,2,ylabel at first abruptly increases and then continues to increase at a constant rate,ylabel increases at a decreasing rate,,,,Line 1 is above line 2
1208.0075v1-Figure13-1.png,2,ylabel increases at a constant rate,ylabel increases at a constant rate,,,,"Both lines share almost identical trends, with line 1 being slightly below line 2"
1208.0080v1-Figure7-1.png,1,ylabel increases at an increasing rate,,,,,ylabel increases at an increasing rate
1208.0081v1-Figure8-1.png,2,ylabel increases at an increasing rate,ylabel increases at an increasing rate,,,,"Both lines share almost identical trends, with line 1 being slightly below line 2"
1208.0562v2-Figure5-1.png,4,ylabel increases at an increasing rate,ylabel increases at an increasing rate,ylabel increases at an increasing rate,ylabel increases at an increasing rate,,"Line 1 is above all other lines, followed by line 2, then by line 3, and ending with line 4"
1208.1794v1-Figure4-1.png,3,ylabel peaks at xlabel _value_,ylabel peak at xlabel _value_,ylabel peak at xlabel _value_,,,"All lines share similar trends, with line 1 being the longest and line 3 being the shortest"
1208.1959v1-Figure17-1.png,3,"ylabel first decreases at a decreasing rate, then plateaus to _value_, and then increases at a decreasing rate","ylabel first decreases at a decreasing rate, the plateaus to _value_, and then increases at a decreasing rate","ylabel first decreases at a decreasing rate, the plateaus to _value_, and then increases at a decreasing rate",,,All lines share the same trend from xlabel _value_ to _value_. Lines 2 and 3 even share the same trend for all values of xlabel.
1208.2199v1-Figure2-1.png,2,ylabel decreases at a decreasing rate and then plateaus to _value_ with a noisy behaviour,ylabel decreases at a decreasing rate and then plateaus to _value_ with a noisy behaviour,,,,The noisiness of line 1 is more spread out than that of line 2
1208.2401v1-Figure11-1.png,4,ylabel decreases roughly at a constant rate and then abruptly drops and decreases at a decreasing rate,ylabel decreases roughly at a constant rate and then abruptly drops and decreases at a decreasing rate and lastly plateaus to _value_,ylabel decreases roughly at a constant rate and then abruptly drops and decreases at a decreasing rate and lastly plateaus to _value_,"ylabel first plateaus at _value_, then decreases at a decreasing rate",,All lines converge towards a value of _value_ on ylabel
1208.2877v1-Figure3-1.png,1,ylabel is concave up and then increases at a decreasing rate with slightly noisy behaviour,,,,,ylabel is concave up and then increases at a decreasing rate with slightly noisy behaviour
1208.3576v1-FigureVIII-1.png,2,"ylabel increases at some constant rate, then plateaus, and then increases again at some constant rate","ylabel increases at some constant rate, then plateaus, and then increases again at some constant rate",,,,Both lines share similar trends with line 1 being above line 2
1208.5557v1-Figure16-1.png,1,ylabel decreases at constant rate and then increases at a constant rate,,,,,ylabel decreases at constant rate and then increases at a constant rate
1208.5558v1-Figure14-1.png,4,ylabel increases at an increasing rate,ylabel increases at an increasing rate,ylabel increases at an increasing rate,ylabel is horizontal at a value of _value_,,Lines 2 and 3 share the exact same trend and are on top of each other.
1208.6318v3-Figure15-1.png,3,ylabel fluctuates between increasing and decreasing but has an overall increasing pattern,ylabel fluctuates between decreasing and increasing but has an overall decreasing pattern,ylabel fluctuates between decreasing and increasing but has an overall decreasing pattern,,,All three lines roughly intersect near xlabel _value_
1209.0317v1-Figure13-1.png,3,ylabel roughly decreases at a constant rate,ylabel is at first horizontal at ylabel _value_ and then decreases at an increasing rate,ylabel is at first horizontal at ylabel _value_ and then decreases at an increasing rate,,,"Lines 1 and 3 share the most similar trends, with line 1 being above line 3"
1209.0317v1-Figure3-1.png,4,ylabel first increases at a decreasing rate and then plateaus,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a decreasing rate and then increases at a roughly constant rate,,"Lines 3 and 4 share the most similar trends, with line 4 being slightly above line 3"
1209.0684v1-Figure8-1.png,4,ylabel at first decreases at an increasing rate then decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,ylabel decreases at a decreasing rate,,Lines 3 and 4 share the exact same trend and are on top of each other. Line 2 shares a similar trend to that of lines 3 and 4 but is slightly below them
1209.1048v1-Figure6-1.png,1,"ylabel at first decreases at a decreasing rate, then increases roughly at an increasing rate, and then increases at a decreasing rate",,,,,"ylabel at first decreases at a decreasing rate, then increases roughly at an increasing rate, and then increases at a decreasing rate"
1209.3505v1-Figure3-1.png,4,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases at a constant rate,ylabel increases roughly at a decreasing rate,,Lines 1 and 2 share similar trends with line 1 being slightly below line 2. Lines 3 and 4 share similar trends with line 3 being slightly above line 4
1209.3794v1-Figure4-1.png,3,ylabel increases at a roughly constant rate,"ylabel fluctuates between increasing at a constant rate, then abruptly dropping, and then again increasing at a constant rate","ylabel fluctuates between increasing at a constant rate, then abruptly dropping, and then again increasing at a constant rate",,,All three lines are on top of each other for values between _value_ and _value_ on the xlabel
1209.3824v1-Figure10-1.png,4,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel decreases at an increasing rate,ylabel is at first horizontal and then decreases at a roughly constant rate,,"Lines 1, 2, and 3 share the most similar trends"
